port_display,n,mean,median,p75,p90,max
BRPEC - PECEM,2414,188.19571941452637,27.025,116.01666666666667,244.12833333333333,18090.166666666668
BR052001 - TERMINAL FLUVIAL DE JURUTI,415,32.16136546184739,26.866666666666667,32.25,39.52,413.5
BRITJ - ITAJAI,717,316.5452115295211,26.0,67.81666666666666,303.5133333333333,33978.5
BRPOA040 - TERMINAL MERLIM,478,28.838389121338913,24.416666666666668,34.75,48.13333333333334,117.25
BRITJ - ITAJAÍ,129,672.8529715762274,24.0,92.25,1737.013333333334,8738.75
BRITJ007 - BARRA DO RIO TERMINAL PORTUÁRIO,218,103.58807339449541,23.566666666666666,75.85,345.43333333333334,2977.0
BRRJ022 - PORTO DO AÇU,11287,45.29129234222261,23.25,45.1,90.46999999999998,4481.5
BRRS006 - BIANCHINI - CANOAS - RS,768,39.55870225694444,23.108333333333334,45.358333333333334,86.28666666666672,749.4333333333333
BRMCZ002 - BRASKEM - MACEIO - AL,216,28.29753086419753,22.791666666666668,28.525,42.75,342.9
BRRS010 - TERMINAL AQUAVIÁRIO DE NITERÓI - RS,181,21.135082872928177,20.833333333333332,22.25,24.0,64.5
BRIOA001 - ITAPOA - SC,2042,22.510651322233105,20.4,26.4,35.3,446.2
BRSSA - SALVADOR,2437,64.13669812611134,15.916666666666666,35.21666666666667,102.9,8596.0
BRNVT001 - PORTONAVE - NAVEGANTES - SC,162,17.45185185185185,15.716666666666665,20.200000000000003,26.08666666666667,97.8
BRNVT001 - TERMINAL PORTONAVE - NAVEGANTES - SC,1613,17.305672659640422,14.7,20.8,27.179999999999996,163.3
BRRS015 - OLEOPLAN CANOAS RS,309,21.35803667745415,13.55,27.0,41.68999999999997,622.0
BRMCP - TERMINAL FLUVIAL DE SANTANA - MACAPÁ,81,54.687448559670784,12.0,111.83333333333333,161.18333333333334,188.13333333333333
BRPET - PELOTAS,1755,15.031813865147198,11.816666666666666,14.133333333333333,20.72666666666667,241.65
BRVIX008 - CIA PORTUARIA VILA VELHA - CPVV - ES,534,33.90190387016229,11.791666666666668,22.5,52.141666666666666,3841.0833333333335
BRBCS001 - ATRACADOURO BARRA SUL,132,10.379671717171716,10.0,11.0,12.0,40.0
BRPBO001 - INSTALAÇÃO PORTUÁRIA DE TURISMO DE PORTO BELO,40,10.795416666666666,10.0,11.0,12.0,32.0
BRARE - AREIA BRANCA (TERMISA),3695,10.563265674334687,5.25,7.25,10.5,438.8333333333333
BR997001 - TERMINAL BELMONTE - BA,476,6.475175070028011,1.5833333333333333,5.333333333333333,15.041666666666668,137.41666666666666
