operation_flag,target,n_true,pct_true,median_true,median_false,median_diff,mean_true,mean_false,mean_diff,corr,abs_median_diff,abs_corr
op_fundeio,t_operation_h,1472,1.0373868000986644,49.0,35.38333333333333,13.616666666666667,229.0156363224638,98.32022994808541,130.69540637437836,0.01672445986418906,13.616666666666667,0.01672445986418906
op_abastecimento_bunker,t_operation_h,4149,2.9239930934846186,23.25,35.75,-12.5,70.58575560375995,100.55226552253181,-29.966509918771862,-0.006376261642072532,12.5,0.006376261642072532
op_descarga,t_operation_h,62067,43.741498995736286,31.166666666666668,40.225,-9.058333333333334,63.26099618154575,127.98908173406159,-64.72808555251584,-0.04055267548433498,9.058333333333334,0.04055267548433498
op_offshore,t_operation_h,36960,26.047429437259943,29.833333333333332,36.916666666666664,-7.083333333333332,137.96420274170274,86.19026762599069,51.77393511571205,0.02869829453026628,7.083333333333332,0.02869829453026628
op_fundeio_ship_to_ship,t_operation_h,97,0.06836040734345819,39.666666666666664,35.416666666666664,4.25,65.61924398625429,99.69934413743492,-34.08010015118063,-0.0011249689371610994,4.25,0.0011249689371610994
op_carga,t_operation_h,68714,48.42594876493182,35.166666666666664,35.666666666666664,-0.5,63.83759908218607,133.32690019722787,-69.4893011150418,-0.04385897497306047,0.5,0.04385897497306047
op_offshore,t_post_operation_h,36960,26.047429437259943,0.0,0.0,0.0,2.1412008477633475,0.3685772144660981,1.7726236332972494,0.03910993262582628,0.0,0.03910993262582628
op_carga,t_post_operation_h,68714,48.42594876493182,0.0,0.0,0.0,0.21529964781558344,1.4077606664753604,-1.1924610186597768,-0.029957829448290407,0.0,0.029957829448290407
op_descarga,t_post_operation_h,62067,43.741498995736286,0.0,0.0,0.0,0.45644787084924354,1.1209736349818777,-0.6645257641326342,-0.016571590499457077,0.0,0.016571590499457077
op_solicitacao_certificado,t_post_operation_h,2884,2.032488812149829,0.0,0.0,0.0,0.12939204808136848,0.8448415353221448,-0.7154494872407763,-0.00507511112991575,0.0,0.00507511112991575
op_desembarque_passageiros,t_post_operation_h,2613,1.8415025194686212,0.0,0.0,0.0,0.10065059318790662,0.8439886943993721,-0.7433381012114655,-0.005023980717970387,0.0,0.005023980717970387
op_embarque_passageiros,t_post_operation_h,2606,1.8365692941964127,0.0,0.0,0.0,0.10092095165003838,0.8439462795578497,-0.7430253279078114,-0.005015261724520721,0.0,0.005015261724520721
op_reparo_manutencao,t_post_operation_h,352,0.2480707565453328,0.0,0.0,0.0,2.8262784090909094,0.8253363524394237,2.0009420566514855,0.005003736256562887,0.0,0.005003736256562887
op_abastecimento_bunker,t_post_operation_h,4149,2.9239930934846186,0.0,0.0,0.0,0.2596689965453523,0.8474878883355355,-0.5878188917901832,-0.004978507011565886,0.0,0.004978507011565886
op_arribada,t_post_operation_h,463,0.32629761443320765,0.0,0.0,0.0,0.3716702663786897,0.831801501781775,-0.4601312354030853,-0.0013191385755651525,0.0,0.0013191385755651525
op_fundeio_ship_to_ship,t_post_operation_h,97,0.06836040734345819,0.0,0.0,0.0,1.7740549828178696,0.8296545085262134,0.9444004742916562,0.0012408562834852887,0.0,0.0012408562834852887
op_fundeio,t_post_operation_h,1472,1.0373868000986644,0.0,0.0,0.0,1.0561933876811593,0.8279321526150749,0.22826123506608442,0.0011626515080169317,0.0,0.0011626515080169317
op_navio_estado_marinha_brasil,t_post_operation_h,188,0.1324923358821664,0.0,0.0,0.0,0.9153368794326242,0.8301872878545168,0.08514959157810742,0.00015570462528780433,0.0,0.00015570462528780433
op_navio_estado_com_operacao_comercial,t_post_operation_h,190,0.13390182881708304,0.0,0.0,0.0,0.905701754385965,0.8301990049751244,0.07550274941084056,0.0001387958632063613,0.0,0.0001387958632063613
op_retirada_residuos_com_operacao_comercial,t_post_operation_h,193,0.13601606821945805,0.0,0.0,0.0,0.8916234887737479,0.8302165812761994,0.06140690749754851,0.00011377012595861262,0.0,0.00011377012595861262
op_retirada_residuos_sem_operacao_comercial,t_post_operation_h,204,0.14376827936149972,0.0,0.0,0.0,0.8435457516339869,0.8302810340812049,0.013264717552782024,2.5265540372755625e-05,0.0,2.5265540372755625e-05
op_navio_estado_sem_operacao_comercial,t_post_operation_h,207,0.1458825187638747,0.0,0.0,0.0,0.8313204508856683,0.8302986138557958,0.0010218370298724633,1.960549051429264e-06,0.0,1.960549051429264e-06
op_reparo_manutencao,t_total_port_stay_h,352,0.2480707565453328,108.83333333333334,39.28333333333333,69.55000000000001,249.98461174242428,110.4833084881155,139.50130325430877,0.008725875414559853,69.55000000000001,0.008725875414559853
op_navio_estado_marinha_brasil,t_total_port_stay_h,188,0.1324923358821664,78.91666666666666,39.333333333333336,39.58333333333332,101.04725177304964,110.84234817851858,-9.79509640546894,-0.00044802113771731325,39.58333333333332,0.00044802113771731325
op_navio_estado_com_operacao_comercial,t_total_port_stay_h,190,0.13390182881708304,78.91666666666666,39.333333333333336,39.58333333333332,101.58631578947367,110.8417636404267,-9.255447850953033,-0.00042558081218630806,39.58333333333332,0.00042558081218630806
op_navio_estado_sem_operacao_comercial,t_total_port_stay_h,207,0.1458825187638747,78.25,39.333333333333336,38.916666666666664,108.14178743961352,110.83329686823632,-2.691509428622794,-0.00012917034706862477,38.916666666666664,0.00012917034706862477
op_retirada_residuos_com_operacao_comercial,t_total_port_stay_h,193,0.13601606821945805,77.25,39.333333333333336,37.916666666666664,99.83730569948186,110.84434176417174,-11.007036064689885,-0.0005100963866503523,37.916666666666664,0.0005100963866503523
op_retirada_residuos_sem_operacao_comercial,t_total_port_stay_h,204,0.14376827936149972,76.625,39.333333333333336,37.291666666666664,109.85367647058824,110.83077518449772,-0.9770987139094842,-4.655216368779955e-05,37.291666666666664,4.655216368779955e-05
op_desembarque_passageiros,t_total_port_stay_h,2613,1.8415025194686212,11.983333333333333,39.916666666666664,-27.93333333333333,99.04825870646766,111.05038997621133,-12.002131269743671,-0.002029040836156307,27.93333333333333,0.002029040836156307
op_embarque_passageiros,t_total_port_stay_h,2606,1.8365692941964127,12.0,39.916666666666664,-27.916666666666664,102.24854182655409,110.98991174225291,-8.741369915698826,-0.0014758435722421628,27.916666666666664,0.0014758435722421628
op_solicitacao_certificado,t_total_port_stay_h,2884,2.032488812149829,18.458333333333336,39.65,-21.191666666666663,546.1090961627369,101.79881364304504,444.3102825196919,0.07883585627583481,21.191666666666663,0.07883585627583481
op_abastecimento_bunker,t_total_port_stay_h,4149,2.9239930934846186,23.416666666666668,39.95,-16.533333333333335,71.96444524785089,112.00000750173022,-40.035562253879334,-0.008481494031443012,16.533333333333335,0.008481494031443012
op_arribada,t_total_port_stay_h,463,0.32629761443320765,53.5,39.333333333333336,14.166666666666664,83.66407487401007,110.9183003139318,-27.254225439921726,-0.001954399730538621,14.166666666666664,0.001954399730538621
op_descarga,t_total_port_stay_h,62067,43.741498995736286,33.916666666666664,45.0,-11.083333333333336,73.54402258849308,139.81906933239802,-66.27504674390494,-0.041340265113053005,11.083333333333336,0.041340265113053005
op_fundeio,t_total_port_stay_h,1472,1.0373868000986644,49.66666666666667,39.3,10.366666666666674,231.6108016304348,109.56326539574475,122.04753623469004,0.015549529711165376,10.366666666666674,0.015549529711165376
op_offshore,t_total_port_stay_h,36960,26.047429437259943,34.916666666666664,41.21666666666667,-6.300000000000004,143.22622474747476,99.41861390384524,43.80761084362952,0.024176361807447887,6.300000000000004,0.024176361807447887
op_fundeio_ship_to_ship,t_total_port_stay_h,97,0.06836040734345819,41.5,39.35,2.1499999999999986,68.38745704467354,110.8584037386517,-42.47094669397816,-0.0013958156864599775,2.1499999999999986,0.0013958156864599775
op_carga,t_total_port_stay_h,68714,48.42594876493182,39.166666666666664,39.583333333333336,-0.4166666666666714,76.97318329112942,142.61896120577745,-65.64577791464804,-0.04125188491751515,0.4166666666666714,0.04125188491751515
op_offshore,t_wait_for_berthing_h,36960,26.047429437259943,0.0,0.0,0.0,3.120821158008658,12.859769063388446,-9.738947905379788,-0.0669603121556273,0.0,0.0669603121556273
op_carga,t_wait_for_berthing_h,68714,48.42594876493182,0.0,0.0,0.0,12.920284561127765,7.8843003420742175,5.035984219053548,0.03942624422239967,0.0,0.03942624422239967
op_abastecimento_bunker,t_wait_for_berthing_h,4149,2.9239930934846186,0.0,0.0,0.0,1.119020647545593,10.600254090862892,-9.481233443317299,-0.025023918527223677,0.0,0.025023918527223677
op_solicitacao_certificado,t_wait_for_berthing_h,2884,2.032488812149829,0.0,0.0,0.0,0.9336222838650023,10.517821251555633,-9.58419896769063,-0.021186406218557125,0.0,0.021186406218557125
