,t_wait_for_berthing_h,t_operation_h,t_post_operation_h,t_total_port_stay_h,avg_wait_prev_20_calls_port,avg_operation_prev_20_calls_port,std_wait_prev_20_calls_port,arrivals_same_day_port,arrivals_prev_day_port,arrivals_prev_7d_avg_port,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,rain_sum_prev_1d,precipitation_sum_prev_1d,wind_speed_10m_max_prev_1d,wind_gusts_10m_max_prev_1d,temperature_2m_mean_prev_1d,rain_sum_prev_3d,precipitation_hours_prev_3d,temperature_2m_mean_prev_3d,wind_speed_10m_max_prev_3d,wind_gusts_10m_max_prev_3d,rain_sum_prev_7d,precipitation_hours_prev_7d,temperature_2m_mean_prev_7d,wind_speed_10m_max_prev_7d,wind_gusts_10m_max_prev_7d,op_abastecimento_bunker,op_arribada,op_carga,op_descarga,op_desembarque_passageiros,op_embarque_passageiros,op_fundeio,op_fundeio_ship_to_ship,op_navio_estado_com_operacao_comercial,op_navio_estado_marinha_brasil,op_navio_estado_sem_operacao_comercial,op_offshore,op_reparo_manutencao,op_retirada_residuos_com_operacao_comercial,op_retirada_residuos_sem_operacao_comercial,op_solicitacao_certificado,op_tipo_operacao_nao_mapeado,arrival_month,arrival_dayofweek,arrival_hour,arrival_is_weekend
wind_speed_10m_max_prev_1d,0.003165784204977752,-0.015228804841476212,0.0008290900088856102,-0.014887171587318278,0.007899918475136478,-0.014859541664167886,0.009955821793368323,-0.09457937275353752,-0.09273776515433105,-0.09059276691297946,-0.10452114184863737,-0.21661117771901653,-0.005578384195371346,-0.05925703186589464,-0.05925703186589464,-0.07288282111758884,0.7257459041368668,0.5799331976486338,-0.01705321227838316,-0.00463647369152022,-0.00463647369152022,1.0,0.8762427319391535,-0.06471609986182147,-0.06624372452082272,-0.10812915864837716,-0.04614473286514554,0.8305034665982649,0.6826724111657992,-0.14409174418050782,-0.16941278126478201,-0.04897337247430289,0.722215987271384,0.5486344661897616,0.030825610018479374,0.03382519062180933,-0.08707259907545888,0.001416972760178748,0.0033747291890298173,0.0019661699875576336,0.0072669786333100774,0.00045472216900574946,0.018535240359188007,0.018943801029026656,0.01949184639058409,0.035528675168363964,0.019968437721139074,0.018610708478674774,0.019062487314914712,0.08169805572093362,,0.1808582472813241,0.021356024003736807,-0.01308899906329063,0.018606146968893473
wind_gusts_10m_max_prev_1d,-0.02256361074386655,-0.010200127335006613,0.0008199766071172134,-0.01194675385731367,-0.04101773492655534,-0.0071535265931091906,-0.051973918815890655,-0.10354766553047322,-0.0976484658792763,-0.09331762184957407,-0.050186403516441096,-0.11655830327918826,0.006269842190113628,-0.01711276367547902,-0.01711276367547902,-0.02343503899476951,0.5788047175332537,0.5789150729560959,-0.006360595135087644,0.06666015157574426,0.06666015157574426,0.8762427319391535,1.0,0.005566371050889962,-0.005118405259057846,-0.05802003865717284,0.03618997701560188,0.6860139938701978,0.7361048763670026,-0.09072303264408499,-0.1327404496856589,0.03620617260385371,0.5505030832939828,0.5482015730990596,0.024885214630532233,0.029107096580750006,-0.08440823992939835,-0.010270831054592597,0.0033958072813485302,0.0022127831306481354,0.010273857888072517,0.0016021871458735185,0.015156202409855659,0.015480194054136318,0.015972215299499444,0.04296589348493584,0.020447062004920316,0.015348122054948034,0.015644147872748187,0.052941848086639154,,0.20130111922888752,0.022151609888638506,-0.008951673487946166,0.021098201031537006
temperature_2m_mean_prev_1d,-0.03789920659682467,0.002749769554886402,-0.0030050679724376015,-0.0003806879812011525,-0.07024030547804672,0.00536283579293631,-0.07708775636034618,-0.07292129503044643,-0.0668786850932552,-0.07233358410802812,0.9425666553250277,0.8427414853967693,0.9279259794588114,0.07212810055952525,0.07212810055952525,0.13061688168973729,-0.03109360017568679,0.05628012698182908,-0.15302305116107262,-0.01815932579491568,-0.01815932579491568,-0.06471609986182147,0.005566371050889962,1.0,-0.0422714313745454,0.02381773031652351,0.9660344282414152,-0.20263922163334006,-0.18537932186271383,-0.0075444354001229785,0.09250973714792861,0.9271453990430294,-0.29057606828604765,-0.314510417942907,0.011847160942419041,0.02878245734826885,-0.0968432105348229,-0.04277356993698143,0.06061392255441467,0.06065036984232629,0.015520702010943233,-0.0021976782121237723,0.01125822185700415,0.01245435469825714,0.01191801889666432,0.026860813432658517,0.015570915904640681,0.012897028430108294,0.01294045502405733,0.06650076034349468,,-0.2366984232044897,-0.0005459891058381289,-0.021954516290389487,-0.0012414827256795522
rain_sum_prev_3d,0.02168743659089096,-0.0035804241050809683,-0.005768957108751112,-0.001967650300871255,0.036978884769262525,-0.003457432188738287,0.04741762171218881,-0.07202303264892956,-0.0772963544378621,-0.07201790951807246,-0.02602488607004941,-0.0770616481032457,0.019288648224892378,0.269702650417842,0.269702650417842,0.3248125889278815,-0.11537485825240926,-0.07745768955498332,0.06350149071363709,0.6831374222470602,0.6831374222470602,-0.06624372452082272,-0.005118405259057846,-0.0422714313745454,1.0,0.6640937920852216,0.0013097814611836571,-0.019011062967068136,0.06501702426245501,0.7505968791261091,0.5084789850800029,0.0634354718775281,-0.04485729586596564,0.00812520020734391,-0.010257961634751258,-0.0008673220750308679,0.07401766829253001,0.07002498503899335,0.01594169902126424,0.016241282230075354,-0.005208370454104299,-0.001169789437145148,-0.0012008328911536626,-0.0009697430127484858,-0.0013151044156354443,-0.11833359882286791,-0.0007981946162247372,-0.0010693396316089788,-0.0010170758671124277,0.0026681840269725215,,-0.15160391995312847,-0.00015426193673221485,0.008459811531781802,0.008829691092133274
precipitation_hours_prev_3d,0.022460572789411788,-0.002956733189551498,-0.010882334189186865,-0.0014125609660475093,0.03939240930058176,-0.0009841234101889895,0.049955881431597536,-0.16322830833429583,-0.16792962981741127,-0.17009470160444784,0.05705406416388113,-0.05013203607534414,0.13441168176640464,0.24012029711764063,0.24012029711764063,0.4801780032149207,-0.13468901053379484,-0.10438029833255844,0.005893366550259847,0.4255487093124352,0.4255487093124352,-0.10812915864837716,-0.05802003865717284,0.02381773031652351,0.6640937920852216,1.0,0.06469884948032242,-0.09031458919226021,-0.028468637523895918,0.5829332774191696,0.8168340556035952,0.14749230363487886,-0.11794538950528785,-0.08857571783816667,-0.009133250550918303,0.016919432149046135,0.10845668485614461,0.1051891132531289,0.03858692441751372,0.038856913200230894,-0.0034472719434295728,0.0011851180129313723,0.00820384210422427,0.008654380248434087,0.009485268471041149,-0.18484824739413735,0.010036815424399685,0.009169604499983204,0.010048042927066186,0.0153193607151535,,-0.18154471366169328,0.0023579609011901304,0.0048179838036445845,0.008040467173744117
temperature_2m_mean_prev_3d,-0.03857074351165416,0.0028231451443331756,-0.00345840276277084,-0.0003729003640656181,-0.07106022429460368,0.004442787963265954,-0.0781531671823519,-0.0800391219823743,-0.07380576858442273,-0.07552649203336942,0.9130445111401085,0.7990241577494605,0.9099925175060938,0.08509692932204196,0.08509692932204196,0.16664834756449456,-0.03387143293513099,0.0548112415801869,-0.16825163599389928,0.047439082432689794,0.047439082432689794,-0.04614473286514554,0.03618997701560188,0.9660344282414152,0.0013097814611836571,0.06469884948032242,1.0,-0.17306158966890584,-0.13813177685964134,0.0023242827846667734,0.09987470687074769,0.9681306928406276,-0.2877457762865472,-0.3080612683579788,0.012265336342967944,0.030528400927410302,-0.0988704770082451,-0.041495663959498254,0.06252603008495895,0.06254286025906805,0.015070804063124794,-0.0023447042307234646,0.01197696076678304,0.01326089230121384,0.012545045957353597,0.02620606380049901,0.015822550618457557,0.013723338891866879,0.01376684448014114,0.06948037698586923,,-0.24783774767877784,0.0025530172752468347,-0.022151539241951453,0.0032667615363822637
wind_speed_10m_max_prev_3d,0.006320661892710164,-0.01824581062331113,0.0024566185029588623,-0.01759691177292379,0.009686588603909377,-0.018567923776431308,0.013324774386547245,-0.04705060915257775,-0.057341947720628596,-0.049329221679978524,-0.215172473752389,-0.3164303023155298,-0.1176111446628039,-0.06740309646752343,-0.06740309646752343,-0.09865869061267346,0.677515632759618,0.5100837635796762,-0.0022272383011690284,-0.019440388082784657,-0.019440388082784657,0.8305034665982649,0.6860139938701978,-0.20263922163334006,-0.019011062967068136,-0.09031458919226021,-0.17306158966890584,1.0,0.8633586212610586,-0.11113329279246201,-0.17282509048404152,-0.15093255215507656,0.8609465625043464,0.7023952695608442,0.035126758783310424,0.02813051541566361,-0.09541250496403188,-0.014358806724674923,-0.005275190304183315,-0.0065228257744997945,0.005472326228790931,0.0013273329588871792,0.016155113744014557,0.016356054598719753,0.016926984436329673,0.06755277787699694,0.015809287298476603,0.015794105491129057,0.016500246476178308,0.0724628972729002,,0.2079103333127618,0.009711994067438333,-0.01157190088246915,0.016524148592913818
wind_gusts_10m_max_prev_3d,-0.02274929846885069,-0.012726023072775676,0.0034413340057602407,-0.014410905806567821,-0.047020196372626694,-0.010921179197479055,-0.057904503201316314,-0.05642448319139547,-0.06377608453819561,-0.05353295971943316,-0.20508603622634117,-0.2435743343873974,-0.16068864619803755,-0.03911758216327266,-0.03911758216327266,-0.06982027145795247,0.5036866881115483,0.4825803081826547,0.006881539975765349,0.037492139222723105,0.037492139222723105,0.6826724111657992,0.7361048763670026,-0.18537932186271383,0.06501702426245501,-0.028468637523895918,-0.13813177685964134,0.8633586212610586,1.0,-0.04182008278941104,-0.13244147751467292,-0.10588924884708818,0.6957026715981284,0.7618322424250669,0.02824284372313397,0.021225825317882804,-0.08946805757057064,-0.024518427075288327,-0.010920489176986271,-0.012051761032733069,0.007882616940617794,0.001747836478070864,0.011614039527551837,0.011654161286693101,0.012244128165344214,0.07356108242729592,0.014986271630471452,0.011424736715076579,0.012067415416208982,0.041164732388915194,,0.24449201975409604,0.005690113715987336,-0.005615990683646819,0.014788383316303924
rain_sum_prev_7d,0.020741523979595073,-0.0020764072974537293,-0.009627299104003595,-0.0006427208124800609,0.0401766754696985,-0.0008133154921439983,0.05540308070702984,-0.08361330901630752,-0.08743077160706957,-0.09448427805511884,0.009134786817068051,-0.039346293944751046,0.048560689454883746,0.257767214829684,0.257767214829684,0.31619030553758937,-0.17632997029707195,-0.13826913361699494,0.05314438541660039,0.4941942318122092,0.4941942318122092,-0.14409174418050782,-0.09072303264408499,-0.0075444354001229785,0.7505968791261091,0.5829332774191696,0.0023242827846667734,-0.11113329279246201,-0.04182008278941104,1.0,0.6959749209214119,0.039745362711307616,-0.07017137690557533,0.0010835976879268383,-0.013071933570379791,-0.0012871352891039942,0.09824697111858194,0.08675623378079382,0.02248308473887255,0.022618932649908753,-0.003676877690911988,-0.00460122432436527,-0.001531330619127606,-0.0013088924081175383,-0.0017023966489501505,-0.15647397346815814,-0.0028672448143798215,-0.001345769955460051,-0.0007167497507306165,0.0006362964982148747,,-0.2007845768517205,0.004939670481828254,0.009833005591553493,0.006515524403550383
precipitation_hours_prev_7d,0.02348204247155698,-0.001025052103053985,-0.013385522280578084,0.0005300465569004375,0.04348716083772785,-0.0009561933080638028,0.058453221682975655,-0.18283132353689288,-0.18723076607559852,-0.20331109423401397,0.11622881976765558,0.013331471203541381,0.182368203606154,0.21902033403490048,0.21902033403490048,0.4448714038132787,-0.18989453670067463,-0.16701483326567812,0.0021827555217541687,0.3209050482094938,0.3209050482094938,-0.16941278126478201,-0.1327404496856589,0.09250973714792861,0.5084789850800029,0.8168340556035952,0.09987470687074769,-0.17282509048404152,-0.13244147751467292,0.6959749209214119,1.0,0.13721335638220034,-0.16328521121778122,-0.1304340261876462,-0.010263600247125963,0.0203186197654415,0.13163413456911469,0.12365512786295724,0.04547215927479835,0.045799408394527626,-0.0021130778220636768,0.002928396752860945,0.011934094751206516,0.012414960066826426,0.012626728808269292,-0.2235452678728938,0.012924759802631908,0.012977659438532371,0.014500701191900861,0.01465939611404034,,-0.2194193525790438,0.0070446877092756105,0.0071316699948372544,0.008470051580466213
temperature_2m_mean_prev_7d,-0.03956652293758955,0.001318130678487437,-0.0022900339341290752,-0.0019220477317267533,-0.0733416618602659,0.003758495973692433,-0.08011263365472404,-0.08228877491101914,-0.07782506348109763,-0.07946293643204466,0.8982149281816815,0.7817043403530465,0.895035610000929,0.08549430545421129,0.08549430545421129,0.17561069248234734,-0.043200128274630184,0.04472115117168618,-0.18626469540551852,0.0684569208273923,0.0684569208273923,-0.04897337247430289,0.03620617260385371,0.9271453990430294,0.0634354718775281,0.14749230363487886,0.9681306928406276,-0.15093255215507656,-0.10588924884708818,0.039745362711307616,0.13721335638220034,1.0,-0.27068196696458685,-0.2792830473359215,0.012274676924794295,0.031569464441345826,-0.10124266421011367,-0.042325364562308745,0.06440879789970366,0.06431104814572944,0.01499537148142585,-0.0030917592499943814,0.011821906057218355,0.013116196192687031,0.012650460628478417,0.026311009768356316,0.01629210093685343,0.01358006181153251,0.01355955554922306,0.07157624416117545,,-0.26529114060491504,-0.0017369429403604148,-0.021499923414643473,0.0008978207440032568
wind_speed_10m_max_prev_7d,0.008341419610264923,-0.016147137959353342,0.001179666096764026,-0.015377119242286671,0.014745240680681362,-0.016859462901170987,0.019819993765365092,-0.020572753679152535,-0.030629382223802702,-0.03303563787543362,-0.2890572454986591,-0.37710453881192013,-0.19395459201365797,-0.08209102152950455,-0.08209102152950455,-0.12159627345887888,0.6400731737525156,0.45111495049313693,0.015140755669816276,-0.040561470402235685,-0.040561470402235685,0.722215987271384,0.5505030832939828,-0.29057606828604765,-0.04485729586596564,-0.11794538950528785,-0.2877457762865472,0.8609465625043464,0.6957026715981284,-0.07017137690557533,-0.16328521121778122,-0.27068196696458685,1.0,0.8536155570439147,0.033649385691556594,0.02194834698576877,-0.0941558570990474,-0.023825675517582738,-0.012355954502537167,-0.013493548566384392,0.0024045390085935146,0.001582997885702982,0.013218188389517148,0.013536090142722697,0.014270495115143908,0.08606876300978133,0.011122742679137413,0.012802834387793003,0.013468133542906192,0.06339286687229373,,0.23099299361781253,-0.002476684973441073,-0.012114896693373674,-0.0024849376776204884
wind_gusts_10m_max_prev_7d,-0.02065403441053222,-0.010262776469903367,0.0027404093091452936,-0.011807739074210975,-0.041715835931092404,-0.008524066606616731,-0.05307353692100341,-0.023840954713452624,-0.03193463970916079,-0.03586111103100104,-0.31250609133739715,-0.32134126589574047,-0.27914697433706365,-0.06144444692707126,-0.06144444692707126,-0.11112131102925485,0.4505666381216252,0.4054767405530051,0.030442660972043616,-0.005941883165666111,-0.005941883165666111,0.5486344661897616,0.5482015730990596,-0.314510417942907,0.00812520020734391,-0.08857571783816667,-0.3080612683579788,0.7023952695608442,0.7618322424250669,0.0010835976879268383,-0.1304340261876462,-0.2792830473359215,0.8536155570439147,1.0,0.026050263633519515,0.012426213771573363,-0.08561091868511295,-0.03255372474652623,-0.02274605827966513,-0.023650138288920902,0.004063957605697181,0.001732459310049959,0.0071031186262811765,0.007298180067097481,0.008893043267742241,0.09210286435232687,0.008707860815567544,0.00682905029058401,0.007149187691255291,0.027080443733596343,,0.28474366567595205,-0.0054944514622258115,-0.0046613576711588426,-0.004898896112268791
