Período: 01/05/2023 à 31/07/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMIB - TERMINAL INACIO ;17;17;0;19;1;0;18;0;18
;TPS - TERMINAL ;70;65;5;78;6;0;67;5;67
;TRBA - TERMINAL DE ;4;4;0;7;2;0;4;1;4
;TRIGOLAR - OCRIM - ;1;0;1;1;0;0;0;1;0
;TUBARÃO - ES - CVRD - ;91;88;3;156;16;10;88;42;89
;TUP SUPERGASBRAS - ;0;0;0;1;1;0;0;0;0
;VILA DO CONDE - BRVDC;93;86;7;378;42;110;91;135;92
;VITÓRIA - BRVIX;93;91;2;314;27;50;96;141;96
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;17;17;0;22;3;2;17;0;17
