Período: 01/02/2023 à 30/04/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;FORTALEZA (MUCURIPE) - ;157;145;12;170;5;1;150;14;150
;GERDAU AÇOS LONGOS - ;7;6;1;10;0;0;6;4;6
;HERMASA DA AMAZÔNIA - ;38;37;1;43;4;0;38;1;38
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;49;8;12;0;29;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHA GUAÍBA - ITAGUAÍ - ;19;19;0;42;10;1;21;10;21
;ILHEUS - BRIOS;25;25;0;29;1;2;25;1;25
;IMBITUBA - BRIBB;74;70;4;81;6;1;73;1;73
;INSTALAÇÃO PORTUÁRIA ;3;3;0;4;1;0;3;0;3
;ITAGUAÍ - BRIGI;119;105;14;179;34;5;105;35;105
;ITAJAÍ - BRITJ;33;23;10;63;9;8;35;11;35
;ITAPOA - SC - BRIOA001;132;132;0;147;9;4;132;2;132
;ITAQUI - BRIQI;221;192;29;253;7;12;196;38;195
;J. F. DE OLIVEIRA ;0;0;0;0;0;0;0;0;0
;LAGUNA - BRVLL;0;0;0;0;0;0;0;0;0
;MACEIÓ - BRMCZ;70;69;1;88;7;7;69;5;70
;MADRE DE DEUS - ;71;69;2;80;2;0;71;7;70
;MANAUS - BRMAO;9;9;0;10;1;0;9;0;9
;MERLIN LUDEMAX - RS - ;47;46;1;59;10;0;48;1;47
;NATAL - BRNAT;39;29;10;57;1;10;31;15;31
;NITERÓI - BRNTR;111;102;9;133;5;7;110;11;110
;NOV FLEXIBLES - ;0;0;0;0;0;0;0;0;0
;OLEOPLAN CANOAS RS - ;25;25;0;28;3;0;25;0;25
;PARANAGUA - BRPNG;565;553;12;663;44;6;572;41;568
;PECEM - BRPEC;141;136;5;169;23;0;142;4;142
;PELOTAS - BRPET;136;136;0;136;1;0;135;0;137
;POLY TERMINAIS (DOW ;0;0;0;1;0;0;1;0;1
;PONTA DA MADEIRA - ;111;95;16;142;3;11;98;30;98
;PONTA DE UBU - ES - ;26;26;0;33;6;1;25;1;26
;PORTO ALEGRE - RS - ;60;59;1;83;22;0;59;2;58
;PORTOCEL - TERMINAL ;91;89;2;102;6;4;87;5;87
;PORTO CRAI - BRPA033;0;0;0;0;0;0;0;0;0
;PORTO DO AÇU - BRRJ022;858;845;13;1317;43;219;875;180;871
;PORTONAVE - ;179;179;0;194;8;6;180;0;179
;PORTO SUDESTE - ;34;34;0;52;11;1;34;6;33
;PORTO VELHO - RO - ;0;0;0;0;0;0;0;0;0
;PRAIA MOLE - ES - ;0;0;0;48;4;4;0;40;0
;RECIFE - BRREC;104;96;8;112;5;0;103;4;103
;RIO DE JANEIRO - BRRIO;2073;1982;91;2549;215;109;2098;127;2101
;RIO GRANDE - BRRIG;445;416;29;859;55;297;419;88;421
;SALVADOR - BRSSA;218;216;2;269;24;13;219;13;219
;SANTANA/MACAPA - ;22;21;1;23;2;0;21;0;21
;SANTAREM - BRSTM;91;78;13;116;7;2;81;26;81
;SANTOS - BRSSZ;1287;1163;124;1470;103;23;1187;157;1180
;SAO FRANCISCO DO SUL - ;101;98;3;163;28;21;107;7;106
;SAO SEBASTIAO - BRSSO;32;32;0;67;6;25;32;4;32
;SUAPE - BRSUA;343;330;13;422;54;12;340;16;335
;SUPER TERMINAIS - ;12;12;0;15;2;0;13;0;13
;TBO - TERMINAL ;10;10;0;11;0;0;10;1;10
;TEDUT - TERMINAL ;42;41;1;49;3;4;40;2;40
;TEMAN - PETROBRAS - ;42;41;1;58;2;3;41;12;41
;TEPORTI - TERMINAL ;7;7;0;8;1;0;7;0;7
;TERFRAN - TERMINAL ;0;0;0;0;0;0;0;0;0
;TERFRON - TERMINAL ;5;5;0;32;7;11;6;8;6
;TERGASUL - CANOAS - RS ;14;14;0;17;2;1;14;0;14
;TERMINAL AQUAVIARIO ;1;1;0;1;0;0;1;0;1
;TERMINAL AQUAVIÁRIO ;26;26;0;27;0;0;27;0;27
;TERMINAL AQUAVIÁRIO ;19;16;3;20;1;0;16;3;16
;TERMINAL AQUAVIÁRIO ;164;160;4;204;5;16;164;19;162
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;28;28;0;30;0;2;28;0;28
;TERMINAL DE BENTO ;0;0;0;17;2;10;0;5;0
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;21;21;0;23;1;0;22;0;22
;TERMINAL FLUVIAL ;2;2;0;2;0;0;2;0;2
;TERMINAL FLUVIAL DE ;27;25;2;27;0;0;26;1;25
;TERMINAL FLUVIAL MRN ;49;48;1;56;1;4;49;2;49
;TERMINAL FLUVIAL RIO ;3;3;0;3;0;0;3;0;3
;TERMINAL PETROBRÁS - ;278;267;11;528;68;101;264;95;269
;TERMINAL PORTUÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL TRANSPETRO - ;115;103;12;136;4;9;107;16;107
;TESC - TERMINAL SANTA ;9;9;0;100;15;74;9;2;9
;TFB - EQUADOR LOG - ;20;18;2;18;0;0;17;1;18
;THYSSENKRUPP TERNIUM ;38;33;5;43;1;0;34;8;34
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMIB - TERMINAL INACIO ;14;13;1;13;0;0;13;0;13
;TPS - TERMINAL ;66;64;2;71;2;0;66;3;66
;TRBA - TERMINAL DE ;0;0;0;1;0;0;0;1;0
;TRIGOLAR - OCRIM - ;1;1;0;1;0;0;1;0;1
;TUBARÃO - ES - CVRD - ;80;80;0;128;13;6;82;27;81
;TUP SUPERGASBRAS - ;0;0;0;0;0;0;0;0;0
;VILA DO CONDE - BRVDC;118;111;7;262;25;39;117;81;116
;VITÓRIA - BRVIX;24;21;3;253;25;53;25;150;26
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;11;11;0;11;0;0;11;0;11
