CNPJ;Razão Social;Situação Cadastral;;;;;;;;;;;;;;;;
45.729.897/0001-27;MEX AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
03.332.430/0001-07;MEXPRO ASTRUM LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
08.991.627/0001-63;MEZZO CARGO TRANSPORTE INTERNACIONAL LTDA.;Ativa;;;;;;;;;;;;;;;;
13.821.534/0001-20;MF SERVICOS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
15.023.360/0001-86;MFM LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
01.828.393/0001-99;MFR SERVICOS LTDA;Ativa;;;;;;;;;;;;;;;;
09.049.596/0001-99;MG LOGISTICA BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
32.100.102/0001-75;MGA CONSULTORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
58.932.088/0001-60;MGS ASSESSORIA DE IMPORTACAO E EXPORTACAO LTDA.;Ativa;;;;;;;;;;;;;;;;
41.757.978/0001-80;MIAVIX OPERACOES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
08.717.582/0001-33;MIB CARGAS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
04.364.893/0001-05;MID-AMERICA OVERSEAS DO BRASIL LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
00.911.392/0001-40;MILENIO COMISSARIA DE DESPACHOS S/C LTDA;Ativa;;;;;;;;;;;;;;;;
02.566.190/0001-34;MILLENIUM DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
05.644.507/0001-00;MILLENIUM GLOBAL ASSESSORIA E LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
17.975.817/0001-88;MINAS ADUANA COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
41.677.246/0001-80;MINAS AIR CARGO LTDA;Ativa;;;;;;;;;;;;;;;;
49.259.208/0001-19;MINAS SUL COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
31.663.777/0001-60;MIND X COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
12.646.015/0001-00;MIND-COMEX ASSESSORIA E CONSULTORIA EM NEGOCIOS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
01.263.896/0015-60;MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES;Ativa;;;;;;;;;;;;;;;;
68.265.628/0001-52;MINOICA GLOBAL LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
06.967.629/0001-91;MIRAHMAR COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
56.209.431/0001-17;MIRNAV AGENCIAMENTOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
08.546.552/0001-01;MISSILANDIA ASSIS OLIVEIRA;Ativa;;;;;;;;;;;;;;;;
35.635.287/0001-00;MISTER SHIPPING LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
36.878.666/0001-94;MIT INTERNATIONAL LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
13.546.449/0001-00;MIX AIR GROUP SERVICOS E LOGISTICA MULTIMODAIS LTDA;Ativa;;;;;;;;;;;;;;;;
11.091.836/0001-65;MIXMODAL LTDA;Ativa;;;;;;;;;;;;;;;;
12.907.262/0001-13;MJ CARGO INTERNATIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
79.513.735/0001-79;MK SUL LTDA;Ativa;;;;;;;;;;;;;;;;
12.285.901/0001-56;MKC GLOBAL LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
05.207.635/0001-88;ML SERVICOS DE COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
49.836.221/0001-93;MLOG INTERNATIONAL LTDA.;Ativa;;;;;;;;;;;;;;;;
12.360.652/0001-16;MLP ASSESSORIA ADUANEIRA E REPRESENTACOES LTDA;Ativa;;;;;;;;;;;;;;;;
41.451.646/0001-72;MM LOGISTICS CONSULTING LTDA;Ativa;;;;;;;;;;;;;;;;
08.530.795/0001-51;MMS AGENCIAMENTOS E DESPACHOS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
02.512.969/0001-77;MMS PROJETOS ARQUITETONICO, DESIGN E CONSULTORIA LTDA;Ativa;;;;;;;;;;;;;;;;
31.416.396/0001-86;MOA CARGO INTERNATIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
41.127.434/0001-34;MOA EXPRESS INT'L LTDA;Ativa;;;;;;;;;;;;;;;;
17.407.919/0001-05;MODAL ASSESSORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
39.880.212/0001-46;MODAL COMEX LOGISTICA E SERVICOS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
10.823.955/0001-00;MODALL SHIPPING DO BRASIL TRANSPORTES INTERNACIONAIS EIRELI;Ativa;;;;;;;;;;;;;;;;
01.534.337/0001-41;MODENA COMISSARIA & COMERCIAL LTDA;Ativa;;;;;;;;;;;;;;;;
07.920.928/0001-33;MODUS INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
07.985.267/0001-24;MOEDA AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
08.609.101/0001-76;MOGIMPEX AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
69.070.092/0002-63;MOL (BRASIL) LTDA;Ativa;;;;;;;;;;;;;;;;
69.070.092/0001-82;MOL (BRASIL) LTDA;Ativa;;;;;;;;;;;;;;;;
07.931.212/0001-31;MOLLAX LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
10.314.368/0001-88;MOLLAX MULTIMODAL LTDA;Ativa;;;;;;;;;;;;;;;;
57.369.184/0001-89;MOMA - SERVICOS DE EXPEDICAO E EMBARQUES INTERNACIONAIS DE MERCADORIAS LTDA;Ativa;;;;;;;;;;;;;;;;
49.090.581/0001-99;MOND SHIPPING LTDA;Ativa;;;;;;;;;;;;;;;;
17.615.463/0001-60;MONTSERRAT TRANSPORTE AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
57.840.624/0001-34;MOON LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
40.469.149/0001-39;MOOVI SOLUTIONS MULTIMODAL LTDA;Ativa;;;;;;;;;;;;;;;;
26.245.249/0001-50;MORETTI LOGISTICA MULTIMODAL LTDA;Ativa;;;;;;;;;;;;;;;;
04.062.086/0001-38;MORIALL ASSESSORIA, SERVICOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
07.101.543/0001-44;MOTIVA SERVICOS MARITIMOS E REPRESENTACAO COMERCIAL LTDA;Ativa;;;;;;;;;;;;;;;;
04.513.324/0001-84;MOTRIZ ASSESSORIA E COMERCIO EXTERIOR S/C LTDA;Ativa;;;;;;;;;;;;;;;;
54.199.776/0001-01;MOVA LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
20.908.074/0001-38;MOVE FAST LOGISTICS  LTDA;Ativa;;;;;;;;;;;;;;;;
12.111.133/0001-14;MOVICARGO INTERNACIONAL LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
08.258.997/0001-96;MOVIIS SOLUCOES EM COMERCIO EXTERIOR LTDA.;Ativa;;;;;;;;;;;;;;;;
14.126.843/0001-43;MOVING AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
27.852.945/0001-98;MOW BRAZIL CO LTDA;Ativa;;;;;;;;;;;;;;;;
43.341.070/0001-16;MOW BRAZIL LTDA;Ativa;;;;;;;;;;;;;;;;
00.466.247/0001-06;MP ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
43.788.923/0001-62;MPG LOGISTICS BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
07.784.592/0001-29;MPI - CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
14.560.202/0001-00;MPL ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
04.697.175/0001-50;MR LINE GROUP ASSESSORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
03.160.204/0002-69;MRG DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
03.160.204/0001-88;MRG DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
06.095.345/0001-52;MRM FREIGHT AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
46.474.057/0001-23;MRM LOGISTICS AGENCIAMENTO DE CARGA LTDA;Ativa;;;;;;;;;;;;;;;;
45.763.139/0001-25;MRO DESPACHOS LTDA;Ativa;;;;;;;;;;;;;;;;
05.939.878/0001-00;MRT COMERCIAL LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
27.022.921/0001-01;MS SERVICOS MARITIMOS, PORTUARIOS E AEREOS LTDA;Ativa;;;;;;;;;;;;;;;;
02.581.314/0001-50;MSC LOGISTICA E TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
08.680.888/0001-62;MSC MEDITERRANEAN LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
08.680.888/0002-43;MSC MEDITERRANEAN LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
08.680.888/0011-34;MSC MEDITERRANEAN LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
02.378.779/0009-66;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0001-09;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0005-32;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0008-85;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0007-02;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0015-04;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0022-33;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0025-86;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0027-48;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0019-38;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0010-08;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0018-57;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0017-76;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0016-95;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0021-52;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0028-29;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0024-03;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0034-77;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0029-00;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0035-58;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0038-09;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0030-43;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0033-96;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0031-24;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0039-81;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0037-10;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0032-05;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0036-39;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0042-87;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0041-04;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0043-68;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
02.378.779/0044-49;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
19.422.970/0001-03;MSE DO BRASIL LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
15.838.913/0001-59;MSL AGENCIAMENTO DE CARGA - EIRELI;Ativa;;;;;;;;;;;;;;;;
08.276.976/0001-01;MSL DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
23.881.732/0001-33;MSLOG LOGISTICA INTEGRADA LTDA;Ativa;;;;;;;;;;;;;;;;
10.633.057/0001-81;MSP LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
02.123.629/0001-54;MSR.JR SERVICOS MARITIMOS, CONSTRUCOES E INCORPORACOES LTDA;Ativa;;;;;;;;;;;;;;;;
24.071.415/0001-14;MT SHIPPING AGENCIAMENTO LTDA;Ativa;;;;;;;;;;;;;;;;
32.779.684/0001-68;MTC INTERNATIONAL SOLUCOES LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
05.339.638/0001-75;MTI FREIGHT FORWARDER AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
58.772.104/0001-02;MTM DESPACHOS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
36.173.035/0001-70;MTM LOGIX BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
04.108.975/0002-70;MTN EXPRESS CARGO LTDA;Ativa;;;;;;;;;;;;;;;;
36.999.099/0001-24;MTR INTERNACIONAL DISTRIBUIDORA LTDA;Ativa;;;;;;;;;;;;;;;;
20.907.132/0001-09;MTZ INTELIGENCIA PORTUARIA LTDA;Ativa;;;;;;;;;;;;;;;;
31.789.625/0001-08;MULTIBRAS SOLUCOES EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
14.006.778/0001-12;MULTIBRAX AGENCIAMENTO E TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
65.153.090/0001-04;MULTICARGO CONTAINER SERVICE LTDA;Ativa;;;;;;;;;;;;;;;;
65.153.090/0004-49;MULTICARGO CONTAINER SERVICE LTDA;Ativa;;;;;;;;;;;;;;;;
81.683.518/0001-79;MULTICOMEX LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
11.018.727/0001-12;MULTIDEIAS - MARKETING E TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
60.526.977/0001-79;MULTILOG BRASIL S.A.;Ativa;;;;;;;;;;;;;;;;
05.439.965/0001-07;MULTILOGISTICA DO BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
07.816.951/0001-82;MULTIMAR COMISSARIA DE DESPACHOS LTDA;Ativa;;;;;;;;;;;;;;;;
04.586.414/0001-03;MULTIMAR, COMERCIO IMPORTAO E EXPORTACAO LTDA;Ativa;;;;;;;;;;;;;;;;
22.525.744/0001-62;MULTIMODAL ASSOCIADOS EM TRANSPORTE DE CARGO LTDA;Ativa;;;;;;;;;;;;;;;;
58.418.435/0001-30;MULTIPORT COMISSARIA DE DESPACHOS E AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
09.473.511/0001-03;MULTISEAS AGENCIAMENTOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
31.096.068/0001-40;MULTITERMINAIS ALFANDEGADOS DO BRASIL S.A.;Ativa;;;;;;;;;;;;;;;;
01.201.578/0001-79;MULTITRANS - TRANSPORTES E ARMAZENS GERAIS LTDA.;Ativa;;;;;;;;;;;;;;;;
05.043.760/0001-08;MULTITRANS LOGISTICS DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
24.996.725/0001-40;MUMAK INTERNACIONAL LOGISTIC & CUSTOMS SERVICES LTDA;Ativa;;;;;;;;;;;;;;;;
42.125.806/0001-56;MUNDI BRASIL COMERCIO INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
82.514.365/0001-07;MUNDIAL ASSESSORIA PLENA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
31.332.777/0001-87;MUNDIAL CARGO LOGISTICA EM TRANSPORTE LTDA;Ativa;;;;;;;;;;;;;;;;
07.368.270/0001-07;MUNDIAL SERVICOS ADUANEIROS E AGENCIAMENTO DE CARGA LTDA;Ativa;;;;;;;;;;;;;;;;
11.013.727/0001-20;MUNDIAL TRANSPORTE E NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
40.958.835/0001-73;MUNDIAL TRANSPORTES INTERNACIONAIS DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
08.871.218/0001-23;MUNDO MARITIMO BRASIL AGENCIAMENTOS LTDA.;Ativa;;;;;;;;;;;;;;;;
05.550.754/0002-10;MUNIZ AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
05.550.754/0001-39;MUNIZ AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
05.550.754/0003-09;MUNIZ AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
05.550.754/0004-81;MUNIZ AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
05.550.754/0005-62;MUNIZ AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
04.919.001/0001-95;MVA COMERCIO E TRANSPORTES DE PRODUTOS ALIMENTICIOS LTDA;Ativa;;;;;;;;;;;;;;;;
12.732.562/0001-09;MVA SERVICOS LTDA;Ativa;;;;;;;;;;;;;;;;
07.335.487/0001-02;MVFM CARGO LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
05.516.615/0001-99;MVIX LOGISTICA INTEGRADA LTDA;Ativa;;;;;;;;;;;;;;;;
00.787.964/0001-21;MVM CONSULTORIA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
06.296.408/0001-39;MVPB LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
08.215.490/0005-89;MVX COMERCIO ELETRONICO S.A.;Ativa;;;;;;;;;;;;;;;;
04.794.619/0001-76;MWA LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
04.394.994/0001-29;MWF MULTIMODAL LTDA;Ativa;;;;;;;;;;;;;;;;
10.144.849/0001-92;MWTI - AGENCIAMENTO DE CARGAS, REPRESENTACAO E LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
14.193.534/0001-96;MZX BRASIL COMERCIAL, IMPORTADORA EXPORTADORA LTDA;Ativa;;;;;;;;;;;;;;;;
01.366.021/0001-98;MZX BRASIL TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
05.624.354/0001-20;N B C AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
52.547.313/0001-68;N F CHIOZI AGENCIAMENTO AEREO, MARITIMO E TRANSPORTE DE CARGAS;Ativa;;;;;;;;;;;;;;;;
09.564.542/0001-61;N G L LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
07.702.708/0001-33;N L TRANSPORTE MULTIMODAL LTDA;Ativa;;;;;;;;;;;;;;;;
35.183.219/0001-58;N MAGIOLI AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
09.266.464/0001-19;N-HUNTER'S LOGISTICA E ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
04.841.275/0001-09;N. S. O. LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
00.567.654/0001-00;N.A. PRANTE LOGISTICA COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
02.991.532/0002-44;N.E.W.S EXPRESS TRANSPORTES INTERNACIONAIS LTDA.;Ativa;;;;;;;;;;;;;;;;
02.991.532/0001-63;N.E.W.S EXPRESS TRANSPORTES INTERNACIONAIS LTDA.;Ativa;;;;;;;;;;;;;;;;
07.376.443/0001-20;N.E.W.S. LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
34.241.327/0001-77;NAC DIGITAL LTDA;Ativa;;;;;;;;;;;;;;;;
23.474.836/0001-23;NACIONAL EXPRESS SERVICO DE ENCOMENDAS LTDA;Ativa;;;;;;;;;;;;;;;;
18.490.929/0001-01;NACIONAL SERVICOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
06.555.805/0001-88;NACIONAL TRANSPORTES MARITIMOS LTDA.;Ativa;;;;;;;;;;;;;;;;
29.262.730/0001-42;NARVAL SERVICOS DE TRANSPORTE LTDA;Ativa;;;;;;;;;;;;;;;;
05.366.694/0001-07;NATALSHIPPING MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
02.177.496/0001-07;NATCO INTERNATIONALE TRANSPORTE BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
02.177.496/0002-80;NATCO INTERNATIONALE TRANSPORTE BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
02.177.496/0003-60;NATCO INTERNATIONALE TRANSPORTE BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
74.357.757/0001-73;NATIONAL FREIGHT TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
10.880.693/0001-08;NAUTICA LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
08.446.671/0001-92;NAUTICO LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
58.237.108/0001-82;NAUTILUS GESTAO, LOCACAO E VENDA DE BENS PROPRIOS LTDA.;Ativa;;;;;;;;;;;;;;;;
10.321.152/0001-40;NAUTILUS SERVICOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
50.631.108/0001-50;NAV AIR CARGO ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
47.882.884/0001-19;NAVCARGO ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
08.009.176/0001-16;NAVCARGO LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
51.939.164/0001-10;NAVCOM LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
42.544.741/0001-83;NAVEG LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
92.691.609/0001-72;NAVEGACAO ALIANCA LTDA.;Ativa;;;;;;;;;;;;;;;;
92.691.609/0004-15;NAVEGACAO ALIANCA LTDA.;Ativa;;;;;;;;;;;;;;;;
92.791.292/0001-46;NAVEGACAO AMANDIO ROCHA LTDA.;Ativa;;;;;;;;;;;;;;;;
84.522.291/0001-78;NAVEGACAO BARBOSA LTDA;Ativa;;;;;;;;;;;;;;;;
92.653.823/0001-34;NAVEGACAO CAISM MURATTA LTDA;Ativa;;;;;;;;;;;;;;;;
04.616.801/0001-37;NAVEGACAO CUNHA LTDA;Ativa;;;;;;;;;;;;;;;;
04.616.801/0002-18;NAVEGACAO CUNHA LTDA;Ativa;;;;;;;;;;;;;;;;
09.122.847/0001-13;NAVEGACAO E COMERCIO GUARARAPES LTDA;Ativa;;;;;;;;;;;;;;;;
48.324.031/0001-24;NAVEGACAO GAUCHA LTDA;Ativa;;;;;;;;;;;;;;;;
92.786.680/0001-39;NAVEGACAO GUARITA S/A -;Ativa;;;;;;;;;;;;;;;;
92.786.680/0002-10;NAVEGACAO GUARITA S/A -;Ativa;;;;;;;;;;;;;;;;
34.486.076/0001-90;NAVEGACAO NOBREGA LTDA;Ativa;;;;;;;;;;;;;;;;
07.052.341/0001-50;NAVEGACAO OLIVEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
06.199.077/0001-19;NAVEGACAO RIO NEGRO S.A.;Ativa;;;;;;;;;;;;;;;;
06.199.077/0004-61;NAVEGACAO RIO NEGRO S.A.;Ativa;;;;;;;;;;;;;;;;
06.199.077/0003-80;NAVEGACAO RIO NEGRO S.A.;Ativa;;;;;;;;;;;;;;;;
04.937.694/0001-49;NAVEGACAO SION LTDA;Ativa;;;;;;;;;;;;;;;;
02.273.287/0001-59;NAVEGACAO SIQUEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
04.620.697/0001-54;NAVEGACAO SUPER PORTO LTDA;Ativa;;;;;;;;;;;;;;;;
92.780.998/0001-02;NAVEGACAO TAQUARA S/A;Ativa;;;;;;;;;;;;;;;;
02.859.641/0001-21;NAVEGACAO TURISTINHA LTDA;Ativa;;;;;;;;;;;;;;;;
11.338.257/0001-74;NAVEGACOES UNIDAS TAPAJOS S/A;Ativa;;;;;;;;;;;;;;;;
05.526.718/0001-30;NAVEGANTES FRETES MARITIMOS E APOIO PORTUARIO LTDA;Ativa;;;;;;;;;;;;;;;;
02.003.338/0001-22;NAVEMAZONIA NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
02.003.338/0004-75;NAVEMAZONIA NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
12.939.976/0001-03;NAVENOR S/A SERVICOS MARITIMOS;Ativa;;;;;;;;;;;;;;;;
08.467.005/0001-30;NAVEPORT - SERVICOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
32.596.413/0001-77;NAVEPORT COMERCIO E SERVICOS LTDA;Ativa;;;;;;;;;;;;;;;;
86.932.209/0001-09;NAVEPORT INTERNATIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
36.191.658/0002-56;NAVERIVER NAVEGACAO FLUVIAL LIMITADA;Ativa;;;;;;;;;;;;;;;;
36.191.658/0005-07;NAVERIVER NAVEGACAO FLUVIAL LIMITADA;Ativa;;;;;;;;;;;;;;;;
12.111.683/0001-33;NAVETRANS SERVICOS E APOIO MARITIMO LTDA;Ativa;;;;;;;;;;;;;;;;
04.401.477/0001-30;NAVEZON-LINHAS INTERNAS DA AMAZONIA S A;Ativa;;;;;;;;;;;;;;;;
04.401.477/0004-82;NAVEZON-LINHAS INTERNAS DA AMAZONIA S A;Ativa;;;;;;;;;;;;;;;;
04.401.477/0009-97;NAVEZON-LINHAS INTERNAS DA AMAZONIA S A;Ativa;;;;;;;;;;;;;;;;
