Razão Social;Situação Cadastral;Cidade;Estado
AFX DO BRASIL AGENCIAMENTO DE TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
AG'S COMERCIO DE EQUIPAMENTOS E MATERIAIS DE CONSTRUCAO LTDA;;São Paulo;SP
AGAVE CARGO SERVICE LTDA;;São Paulo;SP
AGEBRAS AGENCIA BRASILEIRA DE COMERCIO EXTERIOR LTDA;;Vitória;ES
AGEMAR AGENCIAMENTOS MARITIMOS LIMITADA;;Belém;PA
AGEMAR TRANSPORTES E EMPREENDIMENTOS LTDA;;Recife;PE
AGEMBRAS AGENCIA MARITIMA BRASILEIRA LTDA;;Maceió;AL
AGENCIA ALAGOANA DE NAVEGACAO LTDA;;Maceió;AL
AGENCIA BRASILEIRA DE NAVEGACAO LTDA;;Maceió;AL
AGENCIA CONTINENTAL DE NAVEGACAO LTDA;;Recife;PE
AGENCIA DE NAVEGACAO E DESPACHOS ANDRADE LTDA;;Aracaju;SE
AGENCIA DE NAVEGACAO E REPRESENTACOES DO BRASIL LTDA;;Maceió;AL
AGENCIA DE TURISMO E CARGAS AGUIAR LTDA;;Santos;SP
AGENCIA DE VAPORES GRIEG S/A;;Santos;SP
AGENCIA DE VAPORES GRIEG S/A;;Paranaguá;PR
AGENCIA DE VAPORES GRIEG S/A;;Itajaí;SC
AGENCIA DE VAPORES GRIEG SA;;Santos;SP
AGENCIA DE VAPORES GRIEG SA;;Itajaí;SC
AGENCIA DE VAPORES GRIEG SA;;Paranaguá;PR
AGENCIA DE VAPORES GRIEG SA;;Rio de Janeiro;RJ
AGENCIA EXPORTADORA E MARITIMA ARAUCARIA LTDA;;Paranaguá;PR
AGENCIA FLUVIAL OLIVEIRA LTDA;;Corumbá;MS
AGENCIA MAR LOGISTICA INTERNACIONAL LTDA;;São Caetano do Sul;SP
AGENCIA MARITIMA AMAZONIA LTDA;;Recife;PE
AGENCIA MARITIMA BRANDAO FILHOS LTDA;;Salvador;BA
AGENCIA MARITIMA BRANDAO FILHOS LTDA;;Aracaju;SE
AGENCIA MARITIMA BRANDAO FILHOS LTDA;;Maceió;AL
