Período: 01/08/2024 à 31/10/2024;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TERMINAL PORTUARIO ;20;19;1;27;5;2;18;2;18
;TERMINAL PORTUÁRIO ;14;14;0;15;1;1;13;0;13
;TERMINAL TRANSPETRO - ;101;99;2;137;9;2;108;18;108
;TERMINAL TRANSPETRO - ;156;154;2;191;6;16;154;15;155
;TERMINAL VETORIAL ;0;0;0;0;0;0;0;0;0
;TFB - EQUADOR LOG - ;16;13;3;15;0;0;13;2;13
;THYSSENKRUPP TERNIUM ;33;33;0;34;0;0;32;2;32
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMG-ITAPUA - TERMINAL ;14;14;0;18;2;1;14;1;14
;TMIB - TERMINAL INACIO ;12;12;0;14;0;1;13;0;13
;TPS - TERMINAL ;62;61;1;66;4;0;60;2;61
;TRBA - TERMINAL DE ;2;2;0;11;1;2;2;6;2
;TRIGOLAR - OCRIM - ;0;0;0;0;0;0;0;0;0
;TUBARÃO - ES - CVRD - ;94;94;0;156;23;8;94;31;92
;TUP NSR - NOVA SANTA ;19;19;0;22;2;0;20;0;20
;TUP SUPERGASBRAS - ;0;0;0;0;0;0;0;0;0
;VILA DO CONDE - BRVDC;255;239;16;395;27;97;240;31;240
;VITÓRIA - BRVIX;68;68;0;296;9;73;74;140;73
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;21;21;0;22;1;0;21;0;22
