feature,feature_origin,family,importance_mae_increase_h,importance_std_h,sample_size,model_family
state_present_vessels_d_minus_1,new,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,0.0008712400328316031,0.011636298251683866,2500,hgb
wind_gusts_10m_max_prev_3d,original,CLIMATICA_HISTORICA,0.0008408851179998086,0.007472356954283683,2500,hgb
arrival_quarter,original,TEMPORAL,0.0007758648888227526,0.000955294789478252,2500,hgb
port_wait_known_std,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.0007615612583222742,0.0012662734892436892,2500,hgb
arrival_is_weekend,original,TEMPORAL,0.00026504030337074863,0.0014197533454863916,2500,hgb
arrival_month_sin,original,TEMPORAL,0.00018899938491282833,0.0023570113030366774,2500,hgb
state_entry_exit_delta_prev_1d,new,ESTADO_OPERACIONAL_RECONSTRUIDO_D_1,0.0,0.0,2500,hgb
op_retirada_residuos_sem_operacao_comercial,original,OPERACIONAL_DA_ESCALA,0.0,0.0,2500,hgb
op_navio_estado_sem_operacao_comercial,original,OPERACIONAL_DA_ESCALA,0.0,0.0,2500,hgb
op_tipo_operacao_nao_mapeado,original,OPERACIONAL_DA_ESCALA,0.0,0.0,2500,hgb
op_retirada_residuos_com_operacao_comercial,original,OPERACIONAL_DA_ESCALA,0.0,0.0,2500,hgb
op_navio_estado_marinha_brasil,original,OPERACIONAL_DA_ESCALA,0.0,0.0,2500,hgb
arrivals_avg_prev_3d,new,FLUXO_PORTUARIO_HISTORICO,0.0,0.0,2500,hgb
port_total_known_count,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,0.0,0.0,2500,hgb
op_navio_estado_com_operacao_comercial,original,OPERACIONAL_DA_ESCALA,0.0,0.0,2500,hgb
precipitation_sum_prev_1d,original,CLIMATICA_HISTORICA,0.0,0.0,2500,hgb
arrivals_avg_prev_7d,new,FLUXO_PORTUARIO_HISTORICO,0.0,0.0,2500,hgb
departures_avg_prev_3d,new,FLUXO_PORTUARIO_HISTORICO,0.0,0.0,2500,hgb
departures_avg_prev_7d,new,FLUXO_PORTUARIO_HISTORICO,0.0,0.0,2500,hgb
arrival_dow_cos,original,TEMPORAL,-0.00020450581437359006,0.013934165346985791,2500,hgb
vessel_wait_known_q90,new,HISTORICO_DA_EMBARCACAO,-0.0002943100402816867,0.006133612654216541,2500,hgb
region,original,ESTRUTURAL_GEOGRAFICA,-0.00036714070972720947,0.00034430278935165186,2500,hgb
opmix_reparo_manutencao_share_prev_7d,new,MIX_OPERACIONAL_RECENTE,-0.0008413052748347619,0.0009175727079571115,2500,hgb
arrivals_max_prev_7d,new,FLUXO_PORTUARIO_HISTORICO,-0.0009718883410248699,0.002314046364641465,2500,hgb
arrivals_prev_1d,new,FLUXO_PORTUARIO_HISTORICO,-0.0018564308432047483,0.008014030614296582,2500,hgb
arrival_dow_sin,original,TEMPORAL,-0.0029216990083706187,0.005829607142695089,2500,hgb
wind_speed_10m_max_prev_3d,original,CLIMATICA_HISTORICA,-0.0030024993818310954,0.007309966954539264,2500,hgb
