port_display,n,mae_original,mae_enriched,absolute_gain_h,percent_gain,actual_q90_h,actual_q95_h
BRPET - PELOTAS - RS,296,6.001563553229619,4.63632790098822,1.3652356522413998,22.74799958598665,23.21666666666667,38.641666666666666
BRPMA001 - SÃO LUIZ - MA,279,10.205961668676837,9.993514707639843,0.2124469610369939,2.0815966974382807,59.57,63.29499999999999
BRIGI - ITAGUAÍ - RJ,273,40.29869014589761,35.62431651322323,4.674373632674381,11.59931902439323,172.15,200.86666666666665
BRNTR - NITERÓI - RJ,263,69.44547508711902,64.48414178858938,4.961333298529638,7.144213920785579,250.81666666666666,388.3499999999997
BRBEL - BELÉM - PA,260,45.96316143266684,34.69340029028495,11.269761142381888,24.519116594909132,161.22,248.19333333333296
BRADR003 - ANGRA DOS REIS - RJ,248,59.86690013654171,54.038322424374975,5.828577712166734,9.735893622140413,193.3,241.47499999999997
BRRS013 - GUAÍBA - RS,242,25.17920031374636,19.1984379643884,5.98076234935796,23.752789107018685,92.59833333333334,110.35916666666664
BRNVT001 - NAVEGANTES - SC,225,7.051088771377344,5.552044087531109,1.4990446838462352,21.259761895657075,23.06,34.83999999999999
BR400001 - SÃO JOÃO DA BARRA - RJ,223,33.71448017837787,30.819002616747838,2.895477561630031,8.588231366197926,143.55333333333337,176.5999999999999
BRSFS - SÃO FRANCISCO DO SUL - SC,221,130.56626806866757,114.99111432152893,15.575153747138643,11.928926190145328,460.2,584.3333333333334
BRFOR - FORTALEZA - CE,217,49.76474449276909,45.92304517163464,3.841699321134449,7.719720778818939,169.60000000000002,265.68666666666655
BRVIX013 - VITÓRIA - ES,211,9.336109469618673,10.158780388464278,-0.8226709188456045,-8.811710290273684,53.833333333333336,59.766666666666666
BRVIX018 - VITÓRIA - ES,209,25.2283735009752,22.289190378130275,2.9391831228449234,11.650307629745967,108.91000000000003,118.73666666666666
BRITJ - ITAJAÍ - SC,209,32.82379592419331,27.630732088055165,5.193063836138148,15.821033765051274,88.7666666666667,174.9199999999998
BRARB - CANDEIAS - BA,192,40.486863087461835,38.521530403108606,1.9653326843532284,4.854247858392028,166.75833333333335,248.77083333333306
BRREC - RECIFE - PE,175,53.48647929991982,47.657973608335766,5.828505691584056,10.897157128068425,202.26666666666665,220.67499999999995
BRAMW001 - SÃO LUIZ - MA,166,14.501575240213212,16.25676477213093,-1.7551895319177166,-12.10344050797002,70.88333333333333,83.32916666666667
BRSSA - SALVADOR - BA,164,21.495863292626197,19.528313983801837,1.9675493088243599,9.15315324646345,77.19833333333338,149.14999999999998
BRARB006 - MADRE DE DEUS - BA,164,33.0989245957801,31.536173081289366,1.5627515144907314,4.721457067188135,93.43500000000003,151.58333333333326
BRIBB - IMBITUBA - SC,158,24.386510330774815,24.302927650736095,0.08358268003872027,0.3427414537997354,122.68,140.40250000000003
BRVIX014 - VITÓRIA - ES,125,38.524168419462804,37.76602932073041,0.7581390987323928,1.9679570769121992,144.93333333333334,187.6666666666666
BRADR - ANGRA DOS REIS - RJ,122,56.3176130329064,53.690428380017195,2.6271846528892056,4.66494318811797,181.92000000000002,270.6499999999999
BRNAT - NATAL - RN,122,38.70901873300593,27.298047829944156,11.41097090306177,29.478843113457703,144.15000000000003,152.9375
BRVIX008 - VILA VELHA - ES,108,14.114937876463625,14.226327947881604,-0.11139007141797919,-0.7891644468639136,36.43333333333333,80.24583333333324
BRTMT001 - SANTARÉM - PA,106,9.137959442144663,8.825511192346108,0.312448249798555,3.419234368206213,47.233333333333334,57.725
BRRS006 - CANOAS - RS,104,33.04942556985413,33.12451715128845,-0.0750915814343216,-0.2272099443169022,72.28000000000002,165.74666666666653
BRIGI009 - ITAGUAÍ - RJ,103,25.39760177415919,23.8122115160577,1.5853902581014907,6.242283315563075,107.99666666666666,124.56999999999998
